seed,elapsed_s,decisions,resolved,control,ar,diffusion,positive_outcomes,control_fraction,empirical_observation_pairs,genome_diversity_g0,genome_diversity_g7
42,2.785993814468384,128,109,14,57,71,17,0.109375,40,0.13936507116201285,0.13936507116201285
77,2.988800287246704,128,108,12,65,63,16,0.09375,40,0.14101766588901002,0.14101766588901002
101,2.8640007972717285,128,112,13,63,65,18,0.1015625,40,0.1340178161693745,0.1340178161693745
113,2.8754334449768066,128,111,16,68,60,15,0.125,39,0.1314018187562418,0.1314018187562418
211,2.9356982707977295,128,111,12,75,53,16,0.09375,38,0.13942771595605627,0.13942771595605627
313,2.6405210494995117,128,109,13,69,59,17,0.1015625,39,0.13341453997132316,0.13341453997132316
401,2.4941680431365967,128,109,10,75,53,17,0.078125,40,0.13680084359021405,0.13680084359021405
509,2.813418388366699,128,110,14,64,64,17,0.109375,40,0.13790198575991264,0.13790198575991264
607,2.366126537322998,128,111,10,62,66,16,0.078125,40,0.12945070196771644,0.12945070196771644
709,2.9250407218933105,128,109,13,69,59,18,0.1015625,38,0.13996251989797537,0.13996251989797537
