seed,parent_pairs_identical,births_lambda0,births_lambda5,routing_fitness_lambda0,routing_fitness_lambda5,diversity_g0_lambda0,diversity_g7_lambda0,diversity_g0_lambda5,diversity_g7_lambda5,final_population_lambda0,final_population_lambda5
42,True,10,10,0.438681980177613,0.45781245306752616,0.13936507116201285,0.13936507116201285,0.13936507116201285,0.13936507116201285,30,30
77,True,10,10,0.4388671746693822,0.4594328970461838,0.14101766588901002,0.14101766588901002,0.14101766588901002,0.14101766588901002,30,30
101,False,10,10,0.43828663635881576,0.458900268896416,0.1340178161693745,0.1340178161693745,0.1340178161693745,0.1340178161693745,30,30
113,False,10,10,0.43550485150852963,0.45531638286127946,0.1314018187562418,0.1314018187562418,0.1314018187562418,0.1314018187562418,30,30
211,False,10,10,0.436565926880901,0.45621914936816366,0.13942771595605627,0.13942771595605627,0.13942771595605627,0.13942771595605627,30,30
313,False,10,10,0.43933285169873676,0.4596855663921161,0.13341453997132316,0.13341453997132316,0.13341453997132316,0.13341453997132316,30,30
401,False,10,10,0.43911594403059306,0.45815385090577515,0.13680084359021405,0.13680084359021405,0.13680084359021405,0.13680084359021405,30,30
509,False,10,10,0.4378284260643625,0.4571911583571661,0.13790198575991264,0.13790198575991264,0.13790198575991264,0.13790198575991264,30,30
607,False,10,10,0.43633295851041537,0.4555531261455072,0.12945070196771644,0.12945070196771644,0.12945070196771644,0.12945070196771644,30,30
709,False,10,10,0.4403937026596538,0.460446823163387,0.13996251989797537,0.13996251989797537,0.13996251989797537,0.13996251989797537,30,30
