seed,lambda0_pairs,lambda5_pairs,identical
42,"[[""F5"", ""M6""], [""F3"", ""M2""], [""F7"", ""M1""], [""F1"", ""M3""]]","[[""F5"", ""M6""], [""F1"", ""M0""], [""F7"", ""M5""], [""F6"", ""M3""]]",False
77,"[[""F7"", ""M1""], [""F6"", ""M4""], [""F1"", ""M7""], [""F3"", ""M2""]]","[[""F7"", ""M1""], [""F6"", ""M4""], [""F1"", ""M7""], [""F5"", ""M0""]]",False
101,"[[""F3"", ""M5""], [""F0"", ""M7""], [""F7"", ""M4""], [""F6"", ""M1""]]","[[""F3"", ""M5""], [""F0"", ""M7""], [""F7"", ""M4""], [""F6"", ""M1""]]",True
113,"[[""F7"", ""M0""], [""F5"", ""M3""], [""F6"", ""M5""], [""F0"", ""M7""]]","[[""F6"", ""M2""], [""F5"", ""M3""], [""F7"", ""M5""], [""F0"", ""M7""]]",False
211,"[[""F3"", ""M6""], [""F2"", ""M3""], [""F4"", ""M2""], [""F0"", ""M7""]]","[[""F3"", ""M6""], [""F2"", ""M3""], [""F4"", ""M2""], [""F0"", ""M7""]]",True
313,"[[""F7"", ""M3""], [""F0"", ""M4""], [""F5"", ""M6""], [""F6"", ""M7""]]","[[""F7"", ""M3""], [""F0"", ""M4""], [""F1"", ""M7""], [""F4"", ""M1""]]",False
401,"[[""F6"", ""M7""], [""F5"", ""M3""], [""F0"", ""M6""], [""F7"", ""M5""]]","[[""F6"", ""M7""], [""F5"", ""M3""], [""F0"", ""M6""], [""F7"", ""M5""]]",True
509,"[[""F4"", ""M0""], [""F6"", ""M2""], [""F3"", ""M7""], [""F1"", ""M5""]]","[[""F0"", ""M3""], [""F5"", ""M2""], [""F3"", ""M4""], [""F4"", ""M7""]]",False
607,"[[""F7"", ""M6""], [""F1"", ""M7""], [""F4"", ""M3""], [""F3"", ""M2""]]","[[""F7"", ""M6""], [""F1"", ""M7""], [""F4"", ""M3""], [""F3"", ""M2""]]",True
709,"[[""F4"", ""M3""], [""F0"", ""M5""], [""F7"", ""M4""], [""F1"", ""M2""]]","[[""F4"", ""M3""], [""F0"", ""M5""], [""F7"", ""M4""], [""F1"", ""M2""]]",True
